,Title,URL,LCCN,Date,Description
562,Sculpture exhibition New York City art project : Work Projects Administration.,https://www.loc.gov/item/98514731/,98514731,1936,"1 print on board (poster) : silkscreen, color. | Poster announcing exhibit of sculpture from the New York City Art Project, showing sculpture of a seated woman."
563,"The second series of the composers' forum Laboratory begins Wed. eve., Oct 14, 8:30 : Featuring American composers every Wednesday evening at the W.P.A. Federal Music Project Headquarters.",https://www.loc.gov/item/98514537/,98514537,1936,"1 print on board (poster) : silkscreen, color. | Poster announcing series of music forums for composers open to the public at the Federal Music Project Headquarters, 110 W. 48th St., New York City, showing musical note."
564,"Senior amateur musical contest On the mall, Central Park /",https://www.loc.gov/item/98518373/,98518373,1936,"1 print on board (poster) : silkscreen, color. | Poster announcing musical contest in Central Park, showing man playing a guitar and harmonica."
565,"South Side High School senior class presents ""It never rains"" a comedy in 3 acts",https://www.loc.gov/item/98514732/,98514732,1936,"1 print on board (poster) : silkscreen, color. | Poster for South Side High School senior class presentation of ""It never rains"" by Aurania Ellenbeck Rouverol, at South Side High School, showing a young couple eloping."
566,Shall the artist survive?,https://www.loc.gov/item/98514559/,98514559,1936,"1 print on board (poster) : silkscreen, color. | Poster announcing forum at the Daly Theatre, 22 West 63 St., featuring speakers Holger Cahill, Dr. Erwin Edman, Elinore M. Herrick, J.B. Neumann, and Dr. Wm. Nunn, chairman."
567,6 + 8,https://www.loc.gov/item/98514560/,98514560,1936,"1 print on board (poster) : silkscreen, color. | Poster promoting education and civic activity, showing two columns of penguins, six on the left, eight on the right."
568,Skiing in the East The best trails and how to get there : A guide for winter sport fans : Describing over 1000 trails in 216 localities.,https://www.loc.gov/item/98514616/,98514616,1936,"1 print on board (poster) : silkscreen, color. | Poster for WPA Federal Writers' Project, 110 King Street, New York City, ""American Guide Series"" guide to winter sports in the East (from Pennsylvania to Maine), showing a man skiing."
569,Stamp out syphilis and gonorrhea Have you had your blood test and examination : Go to your doctor or Dept. of Health.,https://www.loc.gov/item/98518375/,98518375,1936,"1 print on board (poster) : silkscreen, color. | Poster encouraging blood testing and examinations to identify persons with syphilis and gonorrhea, showing a man pointing at the viewer."
570,"Stamp out syphilis Every baby is entitled to be born healthy : Blood test & examination should be made before marriage by your doctor or Bureau of Social Hygiene Clinic, 51 Stuyvesant Place, Staten Island.",https://www.loc.gov/item/98518378/,98518378,1936,"1 print on board (poster) : silkscreen, color. | Poster encouraging blood tests and examinations for couples prior to marriage."
571,Start the day right with a good breakfast Plan your luncheon wisely : Dinner should balance your day's meals.,https://www.loc.gov/item/98518379/,98518379,1941,"1 print on board (poster) : silkscreen, color. | Poster encouraging healthy eating habits."
572,Stop cancer now Delay reduces the chance for recovery.,https://www.loc.gov/item/98518380/,98518380,1936,"1 print on board (poster) : silkscreen, color. | Poster encouraging early treatment for cancer."
573,"Syphilis may cause heart trouble, blindness, deafness, mental disorders Have your blood tested.",https://www.loc.gov/item/98514733/,98514733,1936,"1 print on board (poster) : silkscreen, color. | Poster promoting blood tests for syphilis."
574,Syphilis .... six out of ten cured because they did not wait too long,https://www.loc.gov/item/98514735/,98514735,1936,"1 print on board (poster) : silkscreen, color ; 55.9 x 35.6 cm (board) | Poster promoting early treatment for syphilis, showing cured and sick men."
575,Syphilis strikes one out of ten adults Consult a reputable physician.,https://www.loc.gov/item/98518382/,98518382,1936,"1 print on board (poster) : silkscreen, color. | Poster encouraging examinations for syphilis."
576,"""The tailor becomes a storekeeper"" A grotesque comedy by David Pinski : Daly's Theatre.",https://www.loc.gov/item/98515066/,98515066,1936,"1 print on board (poster) : silkscreen, color. | Poster for Federal Theatre Project presentation of ""The Tailor Becomes a Storekeeper"" at Daly's Theatre, 63rd Street east of Broadway, New York City, showing a hand holding a fish being cut in half with sissors."
577,"Works Progress Administration Federal Music Project of New York City Theatre of Music Presenting chamber operas, symphony concerts, grand operas, [and] chamber music at popular prices.",https://www.loc.gov/item/98514961/,98514961,1936,"1 print on board (poster) : silkscreen, color. | Poster for Federal Music Project of New York City presentation of operas, concerts, and chamber music at the Theatre of Music, 254 W. 54th St., New York City, New York."
578,Symphony concerts WPA Federal Music Project of New York City Theatre of Music.,https://www.loc.gov/item/98515065/,98515065,1936,"1 print on board (poster) : silkscreen, color. | Poster announcing Federal Music Project symphony concerts at the Theatre of Music, 254 West 54th Street, New York City."
579,This is the market where the storekeeper buys the food and brings it to his store near your house,https://www.loc.gov/item/98518383/,98518383,1936,"1 print on board (poster) : silkscreen, color. | Poster about wholesale food markets."
580,This is the storekeeper He sells the things that are good for you to eat : He must keep the food clean.,https://www.loc.gov/item/98518384/,98518384,1936,"1 print on board (poster) : silkscreen, color. | Poster about retail food markets, merchants, and healthy eating."
581,Toy sale,https://www.loc.gov/item/98518387/,98518387,1936,"1 print on board (poster) : silkscreen, color. | Poster announcing toy sale, showing several toys."
